Date,Close
2/12/2019,232.37
2/13/2019,227.53
2/14/2019,234.39
2/15/2019,236.05
2/19/2019,239.75
2/20/2019,236.35
2/21/2019,236.16
2/22/2019,241.47
2/25/2019,247.73
2/26/2019,244.14
2/27/2019,248.87
2/28/2019,249.28
3/1/2019,254.71
3/4/2019,248.21
3/5/2019,250.92
3/6/2019,251.95
3/7/2019,251.93
3/8/2019,254.36
3/11/2019,268.46
3/12/2019,270.52
3/13/2019,273.38
3/14/2019,277.29
3/15/2019,273.42
3/18/2019,274.92
3/19/2019,268.77
3/20/2019,267.48
3/21/2019,274
3/22/2019,267.02
3/25/2019,269.9
3/26/2019,273.53
3/27/2019,268.37
3/28/2019,273.54
3/29/2019,275.86
4/1/2019,274.38
4/2/2019,268.84
4/3/2019,273.7
4/4/2019,260.25
4/5/2019,263.56
4/8/2019,266.42
4/9/2019,271.82
4/10/2019,275.15
4/11/2019,282.17
4/12/2019,286.47
4/15/2019,291.67
4/16/2019,287.48
4/17/2019,289.53
4/18/2019,295.45
4/22/2019,299.49
4/23/2019,299.79
4/24/2019,296.33
4/25/2019,295.37
4/26/2019,299.1
4/29/2019,303.04
4/30/2019,325.75
5/1/2019,331
5/2/2019,343.85
5/3/2019,354.86
5/6/2019,357.14
5/7/2019,348.07
5/8/2019,352.67
5/9/2019,350.2
5/10/2019,347.27
5/13/2019,337.78
5/14/2019,340.87
5/15/2019,355.01
5/16/2019,374.49
5/17/2019,368.05
5/21/2019,365.94
5/22/2019,373.54
5/23/2019,365.87
5/24/2019,370.73
5/27/2019,376.23
5/28/2019,381.42
5/29/2019,367.85
5/30/2019,374.06
5/31/2019,371.84
6/3/2019,355.84
6/4/2019,367.95
6/5/2019,392.24
6/6/2019,397.46
6/7/2019,405.69
6/10/2019,407.35
6/11/2019,407.49
6/12/2019,413.9
6/13/2019,409.69
6/14/2019,409.15
6/17/2019,410.53
6/18/2019,407.19
6/19/2019,434.95
6/20/2019,433.02
6/21/2019,431.5
6/24/2019,410.7
6/25/2019,373.79
6/26/2019,379.45
6/27/2019,394.66
6/28/2019,393.58
7/2/2019,409.2
7/3/2019,410.35
7/4/2019,414.04
7/5/2019,410.59
7/8/2019,421.47
7/9/2019,422.74
7/10/2019,417.24
7/11/2019,411.21
7/12/2019,404.06
7/15/2019,422.8
7/16/2019,415.6
7/17/2019,424.65
7/18/2019,431.43
7/19/2019,431.05
7/22/2019,439.46
7/23/2019,434
7/24/2019,433.34
7/25/2019,438.79
7/26/2019,442.99
7/29/2019,420.47
7/30/2019,413.83
7/31/2019,419.41
8/1/2019,451.58
8/2/2019,438.95
8/6/2019,441.88
8/7/2019,453.65
8/8/2019,473.1
8/9/2019,488.36
8/12/2019,485.68
8/13/2019,488.49
8/14/2019,470.07
8/15/2019,467.52
8/16/2019,476.54
8/19/2019,481.62
8/20/2019,499.15
8/21/2019,519.07
8/22/2019,517.05
8/23/2019,508.41
8/26/2019,524.34
8/27/2019,541.49
8/28/2019,525.63
8/29/2019,522.06
8/30/2019,512.82
9/3/2019,512.58
9/4/2019,511.33
9/5/2019,519.51
9/6/2019,501.7
9/9/2019,472.05
9/10/2019,442.98
9/11/2019,458.28
9/12/2019,471.1
9/13/2019,449.23
9/16/2019,447.48
9/17/2019,435.67
9/18/2019,432.8
9/19/2019,430.65
9/20/2019,423.13
9/23/2019,415.5
9/24/2019,390.72
9/25/2019,417.54
9/26/2019,415.72
9/27/2019,404.9
9/30/2019,412.3
10/1/2019,414.16
10/2/2019,412.87
10/3/2019,434.16
10/4/2019,435.53
10/7/2019,433.99
10/8/2019,414.39
10/9/2019,418.65
10/10/2019,431.24
10/11/2019,434.98
10/15/2019,456.91
10/16/2019,426.94
10/17/2019,435.6
10/18/2019,412.16
10/21/2019,418.04
10/22/2019,392.02
10/23/2019,388.21
10/24/2019,422.34
10/25/2019,414.58
10/28/2019,422.75
10/29/2019,409.36
10/30/2019,419.91
10/31/2019,413
11/1/2019,416.19
11/4/2019,405.23
11/5/2019,389.15
11/6/2019,388.99
11/7/2019,376.54
11/8/2019,393.75
11/11/2019,401.41
11/12/2019,404.9
11/13/2019,416.28
11/14/2019,413.81
11/15/2019,413.19
11/18/2019,426.66
11/19/2019,419.65
11/20/2019,421.76
11/21/2019,419.86
11/22/2019,418.26
11/25/2019,421.85
11/26/2019,443.57
11/27/2019,453.19
11/28/2019,454
11/29/2019,445.45
12/2/2019,440.21
12/3/2019,466.42
12/4/2019,490.77
12/5/2019,479.25
12/6/2019,483.35
12/9/2019,489.94
12/10/2019,487.04
12/11/2019,491.71
12/12/2019,489.61
12/13/2019,508.43
12/16/2019,517.42
12/17/2019,510.85
12/18/2019,520.56
12/19/2019,516.06
12/20/2019,513.22
12/23/2019,511.62
12/24/2019,525.39
12/27/2019,534.76
12/30/2019,517.79
12/31/2019,516.3
1/2/2020,530.07
1/3/2020,525.07
1/6/2020,535.04
1/7/2020,539.03
1/8/2020,545.02
1/9/2020,561.57
1/10/2020,560.9
1/13/2020,575.14
1/14/2020,576.31
1/15/2020,585.64
1/16/2020,588.3
1/17/2020,594.57
1/20/2020,596.97
1/21/2020,608.76
1/22/2020,610.31
1/23/2020,615.88
1/24/2020,611.84
1/27/2020,594.87
1/28/2020,615.42
1/29/2020,622.82
1/30/2020,628.89
1/31/2020,616.33
2/3/2020,623.77
2/4/2020,644.73
2/5/2020,632.22
2/6/2020,628.97
2/7/2020,636.89
2/10/2020,654.53
2/11/2020,655.46
2/12/2020,705.9
2/13/2020,706.38
2/14/2020,704.18
2/18/2020,709.84
2/19/2020,718.66
2/20/2020,711.04
2/21/2020,686.57
2/24/2020,652.99
2/25/2020,620.37
2/26/2020,627.18
2/27/2020,617.64
2/28/2020,623.22
3/2/2020,651.75
3/3/2020,637.65
3/4/2020,686.77
3/5/2020,669.01
3/6/2020,633.29
3/9/2020,571.21
3/10/2020,618.79
3/11/2020,580.83
3/12/2020,527.71
3/13/2020,546.47
3/16/2020,458.52
3/17/2020,500.45
3/18/2020,498.56
3/19/2020,482.1
3/20/2020,495.45
3/23/2020,542.32
3/24/2020,628.4
3/25/2020,634.48
3/26/2020,631.97
3/27/2020,590
3/30/2020,611.52
3/31/2020,589.62
4/1/2020,546.21
4/2/2020,493.23
4/3/2020,504.52
4/6/2020,553.94
4/7/2020,530.43
4/8/2020,581.96
4/9/2020,584.72
4/13/2020,620.51
4/14/2020,690.33
4/15/2020,700.5
4/16/2020,741.42
4/17/2020,831.52
4/20/2020,887.56
4/21/2020,831.03
4/22/2020,887.97
4/23/2020,871.32
4/24/2020,908.61
4/27/2020,883.83
4/28/2020,886.43
4/29/2020,888.42
4/30/2020,882.78
5/1/2020,863.14
5/4/2020,928.96
5/5/2020,967.25
5/6/2020,1034.42
5/7/2020,1016.31
5/8/2020,989.06
5/11/2020,1050.02
5/12/2020,1053.59
5/13/2020,1069.67
